"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,16,TRUE,TRUE,-0.00219143618612913,0.0193191482425127,-0.00308326518717585,0.0195726578913556,-0.327639859972393,-0.327543650353325,0.0190652825253398,0.0185142528998793,0.0361379392794486,0.0361449143523129,0.321000000000005,1.429
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,17,TRUE,TRUE,0.0174972739575897,0.0211657228377437,0.0151608562133028,0.021421360802158,-0.0952040035448872,-0.0961485666631965,0.043474539179822,0.0460987568761863,0.0354155080890563,0.0354193858247382,0.334000000000003,1.541
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,18,TRUE,TRUE,-0.000533061433669086,0.0226479985897461,0.00311407096173788,0.0234011702463912,0.0895425573283683,0.089412703532043,-0.0184580173973213,-0.0176484741060343,0.0336455504343082,0.0336922490475831,0.240000000000002,1.082
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,19,TRUE,TRUE,-0.00403022036372483,0.019198375011206,-0.00414201749673261,0.0194144418147327,-0.238921780897396,-0.238709636499107,0.003393989788067,0.00248315409869199,0.0331412027391875,0.0332201972727816,0.273000000000003,1.138
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,20,TRUE,TRUE,0.0094413400553616,0.0232644545728557,0.00969856444578354,0.0237785955353817,-0.130457619740997,-0.13072513283842,-0.0168313472900003,-0.0148474836264152,0.0501848132591242,0.0501598400340861,0.359999999999999,1.48
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,21,TRUE,TRUE,-0.00687644486478331,0.0208198002911402,-0.00779046544906265,0.0210984906990884,-0.201715749005137,-0.201724533477793,0.0487291830148896,0.0472300395032213,0.0436960274937212,0.0436884689913408,0.318999999999988,1.423
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,22,TRUE,TRUE,0.0139969479139112,0.0247572343511452,0.0128046987484244,0.0253984121283506,-0.308621130137163,-0.309396232727742,0.0508956184224524,0.0541186950075405,0.0411283969079788,0.0412801294994112,0.230999999999995,1.15100000000001
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,23,TRUE,TRUE,0.00665104830971617,0.0202072885286206,0.00601107515118384,0.0203470627879401,-0.152391229875448,-0.153166347505776,-0.0122919407540819,-0.0105728546473262,0.0528308759222446,0.0528089928808029,0.394000000000005,1.227
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,24,TRUE,TRUE,0.0286984237151351,0.0203791473714388,0.0313844778896873,0.0206436723270294,-0.23489598445315,-0.239823377771574,0.0543365092477628,0.0648645043371893,0.0562992923446242,0.055767117584535,0.26700000000001,1.16300000000001
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,25,TRUE,TRUE,0.0116612483094309,0.0207773085782285,0.0101654977830059,0.0212792137842137,-0.176651958019097,-0.17727411483012,0.0446405714346688,0.0481977278085219,0.0387615971811201,0.0385133536244201,0.234999999999999,1.16900000000001
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,26,TRUE,TRUE,-0.0160659691937822,0.0226873544110529,-0.0158458906640704,0.0230663596016575,-0.2951762223367,-0.294697602346208,0.0460730615240623,0.0431686763313231,0.0637630061052147,0.0638020448671538,0.349999999999994,1.3
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,27,TRUE,TRUE,0.0228208404460776,0.0212287815170836,0.0234826050516283,0.0216228965176595,-0.460576964539479,-0.460285724954352,0.0689087514276925,0.0737813987657485,0.0500803294997141,0.0499940308941348,0.331000000000003,1.437
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,28,TRUE,TRUE,0.0373971746396181,0.024793244608608,0.0412835052078782,0.0254483505572985,0.031649289672074,0.0307382066237982,-0.0192334761167581,-0.0130939702415488,0.059694207621397,0.0594207363981049,0.331999999999994,1.471
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,29,TRUE,TRUE,-0.0167811107932745,0.0205530397280286,-0.017428147053991,0.0209596918113482,-0.289968673412833,-0.288440982007643,0.055298710843191,0.0498938857388641,0.0340641984323902,0.0342593989950367,0.223000000000013,1.20699999999999
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,30,TRUE,TRUE,0.0187496859507309,0.019297299357272,0.0193832432550609,0.0196191865847806,0.00732889097917233,0.00615953414818175,0.0440623498562464,0.0486300588964667,0.0580877076268705,0.0582193535572524,0.395999999999987,1.48399999999999
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,100,31,TRUE,TRUE,0.0120138092131655,0.0221811354515436,0.0115132064311743,0.023132188010188,-0.22985773401735,-0.231440899110596,0.0909138946499995,0.095402943411079,0.0526423919856468,0.0530784157280857,0.253999999999991,1.191
